source,time-period,year,half-year,quarter,origin,destination,animal,number
"""Report of the Department of Animal Health for the Year 1951-52,"" Gold Coast, 1953",annual,1952,.,.,Haute Volta,Gold Coast,cattle,61468
"""Report of the Department of Animal Health for the Year 1951-52,"" Gold Coast, 1953",annual,1952,.,.,Haute Volta,Gold Coast,sheep,112100
"""Report of the Department of Animal Health for the Year 1951-52,"" Gold Coast, 1953",annual,1952,.,.,Haute Volta,Gold Coast,goats,94420
"""Report of the Department of Animal Health for the Year 1951-52,"" Gold Coast, 1953",annual,1952,.,.,Togoland,Gold Coast,cattle,8
"""Report of the Department of Animal Health for the Year 1951-52,"" Gold Coast, 1953",annual,1952,.,.,Togoland,Gold Coast,sheep,28271
"""Report of the Department of Animal Health for the Year 1951-52,"" Gold Coast, 1953",annual,1952,.,.,Togoland,Gold Coast,goats,8331
"""Report of the Department of Animal Health for the Year 1951-52,"" Gold Coast, 1953",annual,1952,.,.,Northern Territories,South,cattle,9589
"""Report of the Department of Animal Health for the Year 1951-52,"" Gold Coast, 1953",annual,1952,.,.,Northern Territories,South,sheep,50311
"""Report of the Department of Animal Health for the Year 1951-52,"" Gold Coast, 1953",annual,1952,.,.,Northern Territories,South,goats,29846
"""Report of the Department of Animal Health for the Year 1951-52,"" Gold Coast, 1953",annual,1952,.,.,Accra Plains,Accra,cattle,4535
"""Report of the Department of Animal Health for the Year 1951-52,"" Gold Coast, 1953",annual,1952,.,.,Accra Plains,Accra,sheep,13858
"""Report of the Department of Animal Health for the Year 1951-52,"" Gold Coast, 1953",annual,1952,.,.,Accra Plains,Accra,goats,1730
